FARRELL Don,Melbourne,Adelaide,26/04/2014,$559.17,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
VASTA Ross,Brisbane,Norfolk Island,26/04/2014,"$1,424.34",,http://www.finance.gov.au/sites/default/files/P34_VASTA_Ross.pdf,Bonner,QLD,Liberal,Coalition,lower
COLLINS Jacinta,Melbourne,Perth,26/04/2014,"$1,572.87",,http://www.finance.gov.au/sites/default/files/P34_COLLINS_Jacinta.pdf,,VIC,Labor,Labor,senate
COLLINS Jacinta,Melbourne,Perth,26/04/2014,"$1,572.87",,http://www.finance.gov.au/sites/default/files/P34_COLLINS_Jacinta.pdf,,VIC,Labor,Labor,senate
FARRELL Don,Melbourne,Adelaide,26/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
FARRELL Don,Melbourne,Adelaide,26/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_FARRELL_Don.pdf,,SA,Labor,Labor,senate
LAMING Andrew,Brisbane,Darwin,27/04/2014,$45.46,,http://www.finance.gov.au/sites/default/files/P34_LAMING_Andrew.pdf,Bowman,QLD,Liberal,Coalition,lower
MORRISON Scott,Sydney,Canberra,27/04/2014,$103.74,,http://www.finance.gov.au/sites/default/files/P34_MORRISON_Scott.pdf,Cook,NSW,Liberal,Coalition,lower
LUDWIG Joe,Coolangatta,Cairns,27/04/2014,$248.18,,http://www.finance.gov.au/sites/default/files/P35_LUDWIG_Joe.pdf,,QLD,Labor,Labor,senate
HOCKEY Joe,Sydney,Canberra,27/04/2014,$281.42,,http://www.finance.gov.au/sites/default/files/P34_HOCKEY_Joe.pdf,North Sydney,NSW,Liberal,Coalition,lower
XENOPHON Nick,Adelaide,Canberra,27/04/2014,$318.15,,http://www.finance.gov.au/sites/default/files/P34_XENOPHON_Nick.pdf,,SA,Independent,Independent,senate
MACDONALD Ian,Townsville,Cairns,27/04/2014,$332.10,,http://www.finance.gov.au/sites/default/files/P34_MACDONALD_Ian.pdf,,QLD,Liberal,Coalition,senate
GRIFFIN Alan,Melbourne,Canberra,27/04/2014,$344.12,,http://www.finance.gov.au/sites/default/files/P34_GRIFFIN_Alan.pdf,Bruce,VIC,Labor,Labor,lower
TURNBULL Malcolm,Sydney,Canberra,27/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_TURNBULL_Malcolm.pdf,Wentworth,NSW,Liberal,Coalition,lower
ROBB Andrew,Melbourne,Canberra,27/04/2014,$491.54,,http://www.finance.gov.au/sites/default/files/P34_ROBB_Andrew.pdf,Goldstein,VIC,Liberal,Coalition,lower
BROWN Carol,Hobart,Sydney,27/04/2014,$537.26,,http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf,,TAS,Labor,Labor,senate
SNOWDON Warren,Alice Springs,Cairns,27/04/2014,$554.45,,http://www.finance.gov.au/sites/default/files/P34_SNOWDON_Warren.pdf,Lingiari,NT,Labor,Labor,lower
ANDREWS Kevin,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Kevin.pdf,Menzies,VIC,Liberal,Coalition,lower
BILLSON Bruce,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_BILLSON_Bruce.pdf,Dunkley,VIC,Liberal,Coalition,lower
KROGER Helen,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_KROGER_Helen.pdf,,VIC,Liberal,Coalition,senate
MCKENZIE Bridget,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_MCKENZIE_Bridget.pdf,,VIC,National,Coalition,senate
SMITH Tony,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_SMITH_Tony.pdf,Casey,VIC,Liberal,Coalition,lower
TILLEM Mehmet,Melbourne,Canberra,27/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_TILLEM_Mehmet.pdf,,VIC,Labor,Labor,senate
DUTTON Peter,Brisbane,Canberra,27/04/2014,$606.03,,http://www.finance.gov.au/sites/default/files/P34_DUTTON_Peter.pdf,Dickson,QLD,Liberal,Coalition,lower
FRYDENBERG Josh,Brisbane,Sydney,27/04/2014,$609.61,,http://www.finance.gov.au/sites/default/files/P34_FRYDENBERG_Josh.pdf,Kooyong,VIC,Liberal,Coalition,lower
FIFIELD Mitch,Melbourne,Sydney,27/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_FIFIELD_Mitch.pdf,,VIC,Liberal,Coalition,senate
HANSON-YOUNG Sarah,Melbourne,Adelaide,27/04/2014,$658.96,,http://www.finance.gov.au/sites/default/files/P34_HANSON-YOUNG_Sarah.pdf,,SA,Greens,Greens,senate
ABETZ Eric,Hobart,Melbourne,27/04/2014,$675.33,,http://www.finance.gov.au/sites/default/files/P34_ABETZ_Eric.pdf,,TAS,Liberal,Coalition,senate
TRUSS Warren,Hervey Bay,Sydney,27/04/2014,$712.99,,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,Wide Bay,QLD,National,Coalition,lower
JOYCE Barnaby,Tamworth,Sydney,27/04/2014,$778.95,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf,New England,NSW,National,Coalition,lower
RIPOLL Bernie,Brisbane,Melbourne,27/04/2014,$832.52,,http://www.finance.gov.au/sites/default/files/P34_RIPOLL_Bernie.pdf,Oxley,QLD,Labor,Labor,lower
RIPOLL Bernie,Brisbane,Melbourne,27/04/2014,$832.52,,http://www.finance.gov.au/sites/default/files/P34_RIPOLL_Bernie.pdf,Oxley,QLD,Labor,Labor,lower
PERIS Nova,Uluru,Alice Springs,27/04/2014,$939.93,,http://www.finance.gov.au/sites/default/files/P34_PERIS_Nova.pdf,,NT,Labor,Labor,senate
FEENEY David,Melbourne,Brisbane,27/04/2014,$958.49,,http://www.finance.gov.au/sites/default/files/P34_FEENEY_David1.pdf,Batman,VIC,Labor,Labor,lower
FRYDENBERG Josh,Melbourne,Brisbane,27/04/2014,$958.49,,http://www.finance.gov.au/sites/default/files/P34_FRYDENBERG_Josh.pdf,Kooyong,VIC,Liberal,Coalition,lower
SMITH Dean,Perth,Sydney,27/04/2014,"$1,301.61",,http://www.finance.gov.au/sites/default/files/P34_SMITH_Dean.pdf,,WA,Liberal,Coalition,senate
BISHOP Mark,Adelaide,Perth,27/04/2014,"$1,308.25",,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf,,WA,Labor,Labor,senate
BISHOP Mark,Adelaide,Perth,27/04/2014,"$1,308.25",,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Mark.pdf,,WA,Labor,Labor,senate
BISHOP Julie,Perth,Canberra,27/04/2014,"$1,515.09",,http://www.finance.gov.au/sites/default/files/P34_BISHOP_Julie.pdf,Curtin,WA,Liberal,Coalition,lower
GRAY Gary,Perth,Canberra,27/04/2014,"$1,515.09",,http://www.finance.gov.au/sites/default/files/P34_GRAY_Gary.pdf,Brand,WA,Labor,Labor,lower
KEENAN Michael,Perth,Canberra,27/04/2014,"$1,515.09",,http://www.finance.gov.au/sites/default/files/P34_KEENAN_Michael.pdf,Stirling,WA,Liberal,Coalition,lower
CORMANN Mathias,Perth,Melbourne,27/04/2014,"$1,524.74",,http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf,,WA,Liberal,Coalition,senate
ALBANESE Anthony,Perth,Sydney,27/04/2014,"$1,606.92",,http://www.finance.gov.au/sites/default/files/P34_ALBANESE_Anthony.pdf,Grayndler,NSW,Labor,Labor,lower
BACK Chris,Perth,Sydney,27/04/2014,"$1,606.92",,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf,,WA,Liberal,Coalition,senate
SIMPKINS Luke,Perth,Sydney,27/04/2014,"$1,606.92",,http://www.finance.gov.au/sites/default/files/P34_SIMPKINS_Luke.pdf,Cowan,WA,Liberal,Coalition,lower
SIEWERT Rachel,Perth,Brisbane,27/04/2014,"$1,778.41",,http://www.finance.gov.au/sites/default/files/P34_SIEWERT_Rachel.pdf,,WA,Greens,Greens,senate
GOODENOUGH Ian,Perth,Melbourne,27/04/2014,"$1,846.90",,http://www.finance.gov.au/sites/default/files/P34_GOODENOUGH_Ian.pdf,Moore,WA,Liberal,Coalition,lower
SCULLION Nigel,Darwin,Melbourne,27/04/2014,"$1,996.92",,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf,,NT,CLP,CLP,senate
MACTIERNAN Alannah,Perth,Sydney,27/04/2014,"$2,135.54",,http://www.finance.gov.au/sites/default/files/P34_MACTIERNAN_Alannah.pdf,Perth,WA,Labor,Labor,lower
PRICE Melissa,Perth,Sydney,27/04/2014,"$2,135.54",,http://www.finance.gov.au/sites/default/files/P34_PRICE_Melissa.pdf,Durack,WA,Liberal,Coalition,lower
JOYCE Barnaby,Sydney,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_JOYCE_Barnaby1.pdf,New England,NSW,National,Coalition,lower
PERIS Nova,Sydney,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_PERIS_Nova.pdf,,NT,Labor,Labor,senate
SCULLION Nigel,Melbourne,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_SCULLION_Nigel.pdf,,NT,CLP,CLP,senate
TRUSS Warren,Sydney,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_TRUSS_Warren.pdf,Wide Bay,QLD,National,Coalition,lower
ABETZ Eric,Melbourne,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_ABETZ_Eric.pdf,,TAS,Liberal,Coalition,senate
CORMANN Mathias,Melbourne,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_CORMANN_Mathias0.pdf,,WA,Liberal,Coalition,senate
GOODENOUGH Ian,Melbourne,Canberra,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_GOODENOUGH_Ian.pdf,Moore,WA,Liberal,Coalition,lower
MACTIERNAN Alannah,Sydney,Cairns,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_MACTIERNAN_Alannah.pdf,Perth,WA,Labor,Labor,lower
PRICE Melissa,Sydney,Cairns,27/04/2014,,,http://www.finance.gov.au/sites/default/files/P34_PRICE_Melissa.pdf,Durack,WA,Liberal,Coalition,lower
KING Catherine,Melbourne,Adelaide,28/04/2014,$45.46,,http://www.finance.gov.au/sites/default/files/P35_KING_Catherine.pdf,Ballarat,VIC,Labor,Labor,lower
COLLINS Jacinta,Melbourne,,28/04/2014,$103.46,,http://www.finance.gov.au/sites/default/files/P34_COLLINS_Jacinta.pdf,,VIC,Labor,Labor,senate
BRODTMANN Gai,Canberra,Sydney,28/04/2014,$158.34,,http://www.finance.gov.au/sites/default/files/P34_BRODTMANN_Gai.pdf,Canberra,ACT,Labor,Labor,lower
MARLES Richard,Avalon Airport,Sydney,28/04/2014,$199.09,,http://www.finance.gov.au/sites/default/files/P34_MARLES_Richard.pdf,Corio,VIC,Labor,Labor,lower
XENOPHON Nick,Canberra,Melbourne,28/04/2014,$225.15,,http://www.finance.gov.au/sites/default/files/P34_XENOPHON_Nick.pdf,,SA,Independent,Independent,senate
O'SULLIVAN Barry,Brisbane,Canberra,28/04/2014,$267.06,,http://www.finance.gov.au/sites/default/files/P34_O'SULLIVAN_Barry.pdf,,QLD,National,Coalition,senate
RHIANNON Lee,Sydney,Canberra,28/04/2014,$281.42,,http://www.finance.gov.au/sites/default/files/P34_RHIANNON_Lee.pdf,,NSW,Greens,Greens,senate
RHIANNON Lee,Canberra,Sydney,28/04/2014,$281.42,,http://www.finance.gov.au/sites/default/files/P34_RHIANNON_Lee.pdf,,NSW,Greens,Greens,senate
PERIS Nova,Uluru,Alice Springs,28/04/2014,$324.30,,http://www.finance.gov.au/sites/default/files/P34_PERIS_Nova.pdf,,NT,Labor,Labor,senate
NEVILLE Paul,Brisbane,Bundaberg,28/04/2014,$334.86,,http://www.finance.gov.au/sites/default/files/P34_NEVILLE_Paul.pdf,Hinkler,QLD,National,Coalition,lower
NEVILLE Paul,Brisbane,Bundaberg,28/04/2014,$334.86,,http://www.finance.gov.au/sites/default/files/P34_NEVILLE_Paul.pdf,Hinkler,QLD,National,Coalition,lower
LEY Sussan,Albury,Sydney,28/04/2014,$341.09,,http://www.finance.gov.au/sites/default/files/P34_LEY_Sussan.pdf,Farrer,NSW,Liberal,Coalition,lower
MADIGAN John,Melbourne,Canberra,28/04/2014,$344.12,,http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf,,VIC,Independent,Independent,senate
MADIGAN John,Canberra,Melbourne,28/04/2014,$344.12,,http://www.finance.gov.au/sites/default/files/P34_MADIGAN_John.pdf,,VIC,Independent,Independent,senate
MACFARLANE Ian,Canberra,Sydney,28/04/2014,$395.90,,http://www.finance.gov.au/sites/default/files/P34_MACFARLANE_Ian.pdf,Groom,QLD,Liberal,Coalition,lower
TURNBULL Malcolm,Canberra,Sydney,28/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_TURNBULL_Malcolm.pdf,Wentworth,NSW,Liberal,Coalition,lower
BRANDIS George,Canberra,Sydney,28/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf,,QLD,Liberal,Coalition,senate
SCOTT Bruce,Canberra,Sydney,28/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,Maranoa,QLD,National,Coalition,lower
ANDREWS Kevin,Canberra,Sydney,28/04/2014,$470.24,,http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Kevin.pdf,Menzies,VIC,Liberal,Coalition,lower
O'CONNOR Brendan,Melbourne,Canberra,28/04/2014,$491.54,,http://www.finance.gov.au/sites/default/files/P34_O'CONNOR_Brendan.pdf,Gorton,VIC,Labor,Labor,lower
ROBB Andrew,Canberra,Melbourne,28/04/2014,$491.54,,http://www.finance.gov.au/sites/default/files/P34_ROBB_Andrew.pdf,Goldstein,VIC,Liberal,Coalition,lower
TILLEM Mehmet,Canberra,Melbourne,28/04/2014,$491.54,,http://www.finance.gov.au/sites/default/files/P34_TILLEM_Mehmet.pdf,,VIC,Labor,Labor,senate
KEENAN Michael,Canberra,Melbourne,28/04/2014,$491.54,,http://www.finance.gov.au/sites/default/files/P34_KEENAN_Michael.pdf,Stirling,WA,Liberal,Coalition,lower
BOYCE Sue,Brisbane,Cairns,28/04/2014,$526.36,,http://www.finance.gov.au/sites/default/files/P34_BOYCE_Sue.pdf,,QLD,Liberal,Coalition,senate
RIPOLL Bernie,Sydney,Melbourne,28/04/2014,$552.40,,http://www.finance.gov.au/sites/default/files/P34_RIPOLL_Bernie.pdf,Oxley,QLD,Labor,Labor,lower
MARLES Richard,Sydney,Melbourne,28/04/2014,$552.40,,http://www.finance.gov.au/sites/default/files/P34_MARLES_Richard.pdf,Corio,VIC,Labor,Labor,lower
RYAN Scott,Melbourne,Sydney,28/04/2014,$552.40,,http://www.finance.gov.au/sites/default/files/P34_RYAN_Scott.pdf,,VIC,Liberal,Coalition,senate
HUNT Greg,Melbourne,Canberra,28/04/2014,$563.01,,http://www.finance.gov.au/sites/default/files/P34_HUNT_Greg.pdf,Flinders,VIC,Liberal,Coalition,lower
SIEWERT Rachel,Brisbane,Cairns,28/04/2014,$563.30,,http://www.finance.gov.au/sites/default/files/P34_SIEWERT_Rachel.pdf,,WA,Greens,Greens,senate
PRENTICE Jane,Brisbane,Sydney,28/04/2014,$580.91,,http://www.finance.gov.au/sites/default/files/P34_PRENTICE_Jane.pdf,Ryan,QLD,Liberal,Coalition,lower
PRENTICE Jane,Sydney,Brisbane,28/04/2014,$580.91,,http://www.finance.gov.au/sites/default/files/P34_PRENTICE_Jane.pdf,Ryan,QLD,Liberal,Coalition,lower
PRATT Louise,Broome,Perth,28/04/2014,$597.77,,http://www.finance.gov.au/sites/default/files/P34_PRATT_Louise.pdf,,WA,Labor,Labor,senate
ANDREWS Karen,Brisbane,Canberra,28/04/2014,$606.03,,http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Karen.pdf,McPherson,QLD,Liberal,Coalition,lower
ANDREWS Karen,Canberra,Brisbane,28/04/2014,$606.03,,http://www.finance.gov.au/sites/default/files/P34_ANDREWS_Karen.pdf,McPherson,QLD,Liberal,Coalition,lower
RIPOLL Bernie,Melbourne,Sydney,28/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_RIPOLL_Bernie.pdf,Oxley,QLD,Labor,Labor,lower
FIFIELD Mitch,Sydney,Melbourne,28/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_FIFIELD_Mitch.pdf,,VIC,Liberal,Coalition,senate
O'DWYER Kelly,Melbourne,Sydney,28/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_O'DWYER_Kelly.pdf,Higgins,VIC,Liberal,Coalition,lower
TUDGE Alan,Melbourne,Sydney,28/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_TUDGE_Alan.pdf,Aston,VIC,Liberal,Coalition,lower
TUDGE Alan,Sydney,Melbourne,28/04/2014,$637.40,,http://www.finance.gov.au/sites/default/files/P34_TUDGE_Alan.pdf,Aston,VIC,Liberal,Coalition,lower
BRODTMANN Gai,Sydney,Norfolk Island,28/04/2014,$652.18,,http://www.finance.gov.au/sites/default/files/P34_BRODTMANN_Gai.pdf,Canberra,ACT,Labor,Labor,lower
BACK Chris,Sydney,Norfolk Island,28/04/2014,$652.18,,http://www.finance.gov.au/sites/default/files/P34_BACK_Chris.pdf,,WA,Liberal,Coalition,senate
KING Catherine,Melbourne,Adelaide,28/04/2014,$658.96,,http://www.finance.gov.au/sites/default/files/P34_KING_Catherine.pdf,Ballarat,VIC,Labor,Labor,lower
KING Catherine,Adelaide,Melbourne,28/04/2014,$658.96,,http://www.finance.gov.au/sites/default/files/P34_KING_Catherine.pdf,Ballarat,VIC,Labor,Labor,lower
BRANDIS George,Brisbane,Canberra,28/04/2014,$688.31,,http://www.finance.gov.au/sites/default/files/P34_BRANDIS_George.pdf,,QLD,Liberal,Coalition,senate
SIMPKINS Luke,Sydney,Norfolk Island,28/04/2014,$725.18,,http://www.finance.gov.au/sites/default/files/P34_SIMPKINS_Luke.pdf,Cowan,WA,Liberal,Coalition,lower
SCOTT Bruce,Sydney,Norfolk Island,28/04/2014,$732.18,,http://www.finance.gov.au/sites/default/files/P34_SCOTT_Bruce.pdf,Maranoa,QLD,National,Coalition,lower
BROWN Carol,Sydney,Norfolk Island,28/04/2014,$732.18,,http://www.finance.gov.au/sites/default/files/P34_BROWN_Carol.pdf,,TAS,Labor,Labor,senate
GALLACHER Alex,Adelaide,Canberra,28/04/2014,$745.13,,http://www.finance.gov.au/sites/default/files/P34_GALLACHER_Alex.pdf,,SA,Labor,Labor,senate
MOORE Claire,Brisbane,Townsville,28/04/2014,$747.49,,http://www.finance.gov.au/sites/default/files/P34_MOORE_Claire.pdf,,QLD,Labor,Labor,senate
