BUCHHOLZ Scott,http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf,21-Jun-14,21-Jun-14,Electorate Business,Cairns,$286.00,1,104http://www.finance.gov.au/sites/default/files/P34_BUCHHOLZ_Scott.pdf5P34 BUCHHOLZ Scott,$286.00,,,-16.9203338,145.7708595,Wright,QLD,Liberal,Coalition,lower,no
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,26-Jun-14,26-Jun-14,Electorate Business,Perth,$401.00,1,162http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf21P35 SNOWDON Warren,$401.00,,,-31.9535132,115.8570471,Lingiari,NT,Labor,Labor,lower,no
PARKE Melissa,http://www.finance.gov.au/sites/default/files/P35_PARKE_Melissa.pdf,28-Jun-14,28-Jun-14,Electorate Business,Sydney,$125.00,1,18http://www.finance.gov.au/sites/default/files/P35_PARKE_Melissa.pdf16P35 PARKE Melissa,$125.00,,,-33.8674869,151.2069902,Fremantle,WA,Labor,Labor,lower,no
LANDRY Michelle,http://www.finance.gov.au/sites/default/files/P35_LANDRY_Michelle.pdf,30-Jun-14,30-Jun-14,Electorate Business,Mackay,$298.00,1,32http://www.finance.gov.au/sites/default/files/P35_LANDRY_Michelle.pdf24P35 LANDRY Michelle,$298.00,,,-21.1412101,149.1856253,Capricornia,QLD,National,Coalition,lower,no
CHESTERS Lisa,http://www.finance.gov.au/sites/default/files/P35_CHESTERS_Lisa.pdf,4-Jul-14,4-Jul-14,Electorate Business,Melbourne,$253.00,1,20http://www.finance.gov.au/sites/default/files/P35_CHESTERS_Lisa.pdf5P35 CHESTERS Lisa,$253.00,,,-37.814107,144.96328,Bendigo,VIC,Labor,Labor,lower,no
IRONS Steve,http://www.finance.gov.au/sites/default/files/P35_IRONS_Steve.pdf,4-Jul-14,4-Jul-14,Electorate Business,Sydney,$375.00,1,20http://www.finance.gov.au/sites/default/files/P35_IRONS_Steve.pdf5P35 IRONS Steve,$375.00,,,-33.8674869,151.2069902,Swan,WA,Liberal,Coalition,lower,no
GILLESPIE David,http://www.finance.gov.au/sites/default/files/P35_GILLESPIE_David.pdf,9-Jul-14,9-Jul-14,Electorate Business,Sydney,$125.00,1,27http://www.finance.gov.au/sites/default/files/P35_GILLESPIE_David.pdf5P35 GILLESPIE David,$125.00,,,-33.8674869,151.2069902,Lyne,NSW,National,Coalition,lower,no
SIMPKINS Luke,http://www.finance.gov.au/sites/default/files/P35_SIMPKINS_Luke.pdf,10-Jul-14,10-Jul-14,Electorate Business,Melbourne,$374.00,1,27http://www.finance.gov.au/sites/default/files/P35_SIMPKINS_Luke.pdf5P35 SIMPKINS Luke,$374.00,,,-37.814107,144.96328,Cowan,WA,Liberal,Coalition,lower,no
WYATT Ken,http://www.finance.gov.au/sites/default/files/P35_WYATT_Ken.pdf,11-Jul-14,11-Jul-14,Electorate Business,Gold Coast,$295.00,1,27http://www.finance.gov.au/sites/default/files/P35_WYATT_Ken.pdf5P35 WYATT Ken,$295.00,,,-28.0172605,153.4256987,Hasluck,WA,Liberal,Coalition,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf,13-Jul-14,13-Jul-14,Electorate Business,Cairns,$286.00,1,48http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf5P35 KATTER Bob,$286.00,,,-16.9203338,145.7708595,Kennedy,QLD,AUS,AUS,lower,no
KATTER Bob,http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf,19-Jul-14,19-Jul-14,Electorate Business,Cairns,$286.00,1,62http://www.finance.gov.au/sites/default/files/P35_KATTER_Bob.pdf5P35 KATTER Bob,$286.00,,,-16.9203338,145.7708595,Kennedy,QLD,AUS,AUS,lower,no
COULTON Mark,http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf,22-Jul-14,22-Jul-14,Electorate Business,Tamworth,$278.00,1,69http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf5P35 COULTON Mark,$278.00,,,-31.1063157,150.9307341,Parkes,NSW,National,Coalition,lower,no
